产品系列,产品类型,子系列,产品Slug,产品型号,中文完整标题,英文完整标题,当前西班牙语标题,当前法语标题,当前韩语标题,当前俄语标题,数据源文件
泵,柱塞泵,SM 微型柱塞泵,sm-250-peek,SM-250-PEEK,SM-250-PEEK 微型柱塞泵,SM-250-PEEK Plunger Pump,SM-250-PEEK,SM-250-PEEK,SM-250-PEEK,SM-250-PEEK,data/products/detail/plunger-pump-detail.generated.ts
泵,柱塞泵,SM 微型柱塞泵,sm-250-pmma,SM-250-PMMA,SM-250-PMMA 微型柱塞泵,SM-250-PMMA Plunger Pump,SM-250-PMMA,SM-250-PMMA,SM-250-PMMA,SM-250-PMMA,data/products/detail/plunger-pump-detail.generated.ts
泵,柱塞泵,SM 微型柱塞泵,sm-50-pmma,SM-50-PMMA,SM-50-PMMA 微型柱塞泵,SM-50-PMMA Plunger Pump,SM-50-PMMA,SM-50-PMMA,SM-50-PMMA,SM-50-PMMA,data/products/detail/plunger-pump-detail.generated.ts
泵,柱塞泵,SM 微型柱塞泵,sm-500-pmma,SM-500-PMMA,SM-500-PMMA 微型柱塞泵,SM-500-PMMA Plunger Pump,SM-500-PMMA,SM-500-PMMA,SM-500-PMMA,SM-500-PMMA,data/products/detail/plunger-pump-detail.generated.ts
泵,柱塞泵,TM 超微型柱塞泵,tm-100-pmma,TM-100-PMMA,TM-100-PMMA 超微型柱塞泵,TM-100-PMMA ultra-compactPlunger Pump,TM-100-PMMA,TM-100-PMMA,TM-100-PMMA,TM-100-PMMA,data/products/detail/plunger-pump-detail.generated.ts
泵,柱塞泵,TM 超微型柱塞泵,tm-250-pmma,TM-250-PMMA,TM-250-PMMA 超微型柱塞泵,TM-250-PMMA ultra-compactPlunger Pump,TM-250-PMMA,TM-250-PMMA,TM-250-PMMA,TM-250-PMMA,data/products/detail/plunger-pump-detail.generated.ts
泵,柱塞泵,TM 超微型柱塞泵,tm-50-pmma,TM-50-PMMA,TM-50-PMMA 超微型柱塞泵,TM-50-PMMA ultra-compactPlunger Pump,TM-50-PMMA,TM-50-PMMA,TM-50-PMMA,TM-50-PMMA,data/products/detail/plunger-pump-detail.generated.ts
泵,柱塞泵,TM 超微型柱塞泵,tm-500-pmma,TM-500-PMMA,TM-500-PMMA 超微型柱塞泵,TM-500-PMMA ultra-compactPlunger Pump,TM-500-PMMA,TM-500-PMMA,TM-500-PMMA,TM-500-PMMA,data/products/detail/plunger-pump-detail.generated.ts
泵,普通泵,注射泵,hmd3-30mm-solenoid-syringe-pump,定制配置请联系我们,HMD3 30mm 电磁阀注射泵,HMD3 30mm Solenoid Valve Syringe Pump,HMD3-30MM,HMD3-30MM,HMD3-30MM,HMD3-30MM,data/products/generated/pumps/syringe-pumps/detail/index.json
泵,普通泵,注射泵,hmd6-60mm-solenoid-syringe-pump,定制配置请联系我们,HMD6 60mm 电磁阀注射泵,HMD6 60mm Solenoid Valve Syringe Pump,HMD6-60MM,HMD6-60MM,HMD6-60MM,HMD6-60MM,data/products/generated/pumps/syringe-pumps/detail/index.json
泵,普通泵,注射泵,hld3-30mm-rotary-valve-syringe-pump,定制配置请联系我们,HLD3 30mm 旋转阀注射泵,HLD3 30 mm rotating Syringe Pump,HLD3-30MM,HLD3-30MM,HLD3-30MM,HLD3-30MM,data/products/generated/pumps/syringe-pumps/detail/index.json
泵,普通泵,注射泵,hld6-60mm-rotary-valve-syringe-pump,定制配置请联系我们,HLD6 60mm 旋转阀注射泵,HLD6 60 mm rotating Syringe Pump,HLD6-60MM,HLD6-60MM,HLD6-60MM,HLD6-60MM,data/products/generated/pumps/syringe-pumps/detail/index.json
泵,普通泵,,dpgl800-24bs6-ep-ps-gas-liquid-diaphragm-pump,DPGL800-24BS6-EP/PS,DPGL800-24BS6-EP/PS 气液混合隔膜泵,DPGL800-24BS6-EP/PS gas-liquid diaphragm pump,DPGL800-24BS6-EP/PS,DPGL800-24BS6-EP/PS,DPGL800-24BS6-EP/PS,DPGL800-24BS6-EP/PS,data/products/generated/pumps/diaphragm-pumps/detail/index.json
泵,普通泵,,dpgl800-24bs6-ff-ps-gas-liquid-diaphragm-pump,DPGL800-24BS6-FF/PS,DPGL800-24BS6-FF/PS 气液混合隔膜泵,DPGL800-24BS6-FF/PS gas-liquid diaphragm pump,DPGL800-24BS6-FF/PS,DPGL800-24BS6-FF/PS,DPGL800-24BS6-FF/PS,DPGL800-24BS6-FF/PS,data/products/generated/pumps/diaphragm-pumps/detail/index.json
泵,普通泵,,dpgl800-brushless-gas-liquid-diaphragm-pump,,DPGL800 无刷气液混合隔膜泵｜6 L/min｜FOREACH,DPGL800 Brushless Gas-Liquid Diaphragm Pump | 6 L/min | FOREACH,DPGL800-BRUSHLESS,DPGL800-BRUSHLESS,DPGL800-BRUSHLESS,DPGL800-BRUSHLESS,data/products/generated/pumps/diaphragm-pumps/detail/dpgl800-gas-liquid-diaphragm-pump.json
泵,普通泵,,dpgl800-gas-liquid-diaphragm-pump,,DPGL800 气液混合隔膜泵,DPGL800 Gas-Liquid Diaphragm Pump,DPGL800,DPGL800,DPGL800,DPGL800,data/products/generated/pumps/diaphragm-pumps/detail/dpgl800-gas-liquid-diaphragm-pump.json
泵,普通泵,,dpl30-24bb-ep-ps-liquid-diaphragm-pump,DPL30-24BB-EP/PS,DPL30-24BB-EP/PS 液体隔膜泵,DPL30-24BB-EP/PS liquid diaphragm pump,DPL30-24BB-EP/PS,DPL30-24BB-EP/PS,DPL30-24BB-EP/PS,DPL30-24BB-EP/PS,data/products/generated/pumps/diaphragm-pumps/detail/index.json
泵,普通泵,,dpl30-24db-ep-ps-liquid-diaphragm-pump,DPL30-24DB-EP/PS,DPL30-24DB-EP/PS 液体隔膜泵,DPL30-24DB-EP/PS liquid diaphragm pump,DPL30-24DB-EP/PS,DPL30-24DB-EP/PS,DPL30-24DB-EP/PS,DPL30-24DB-EP/PS,data/products/generated/pumps/diaphragm-pumps/detail/index.json
泵,普通泵,,dpl30-brushless-liquid-diaphragm-pump,,DPL30 无刷液体隔膜泵｜300 mL/min 100 kPa｜FOREACH,DPL30 Brushless Liquid Diaphragm Pump | 300 mL/min 100 kPa | FOREACH,DPL30-BRUSHLESS,DPL30-BRUSHLESS,DPL30-BRUSHLESS,DPL30-BRUSHLESS,data/products/generated/pumps/diaphragm-pumps/detail/dpl30-liquid-diaphragm-pump.json
泵,普通泵,,dpl30-liquid-diaphragm-pump,,DPL30 液体隔膜泵,DPL30 Liquid Diaphragm Pump,DPL30,DPL30,DPL30,DPL30,data/products/generated/pumps/diaphragm-pumps/detail/dpl30-liquid-diaphragm-pump.json
泵,普通泵,,dpl30h-24bs-ep-ps-liquid-diaphragm-pump,DPL30H-24BS-EP/PS,DPL30H-24BS-EP/PS 液体隔膜泵,DPL30H-24BS-EP/PS liquid diaphragm pump,DPL30H-24BS-EP/PS,DPL30H-24BS-EP/PS,DPL30H-24BS-EP/PS,DPL30H-24BS-EP/PS,data/products/generated/pumps/diaphragm-pumps/detail/index.json
泵,普通泵,,dpl30h-24ds-ep-ps-liquid-diaphragm-pump,DPL30H-24DS-EP/PS,DPL30H-24DS-EP/PS 液体隔膜泵,DPL30H-24DS-EP/PS liquid diaphragm pump,DPL30H-24DS-EP/PS,DPL30H-24DS-EP/PS,DPL30H-24DS-EP/PS,DPL30H-24DS-EP/PS,data/products/generated/pumps/diaphragm-pumps/detail/index.json
泵,普通泵,,dpl30h-brushless-liquid-diaphragm-pump,,DPL30H 无刷液体隔膜泵｜300 mL/min 600 kPa｜FOREACH,DPL30H Brushless Liquid Diaphragm Pump | 300 mL/min 600 kPa | FOREACH,DPL30H-BRUSHLESS,DPL30H-BRUSHLESS,DPL30H-BRUSHLESS,DPL30H-BRUSHLESS,data/products/generated/pumps/diaphragm-pumps/detail/dpl30h-liquid-diaphragm-pump.json
泵,普通泵,,dpl30h-liquid-diaphragm-pump,,DPL30H 液体隔膜泵,DPL30H Liquid Diaphragm Pump,DPL30H,DPL30H,DPL30H,DPL30H,data/products/generated/pumps/diaphragm-pumps/detail/dpl30h-liquid-diaphragm-pump.json
泵,普通泵,,dpl60-24bb-ep-ps-liquid-diaphragm-pump,DPL60-24BB-EP/PS,DPL60-24BB-EP/PS 液体隔膜泵,DPL60-24BB-EP/PS liquid diaphragm pump,DPL60-24BB-EP/PS,DPL60-24BB-EP/PS,DPL60-24BB-EP/PS,DPL60-24BB-EP/PS,data/products/generated/pumps/diaphragm-pumps/detail/index.json
泵,普通泵,,dpl60-24db-ep-ps-liquid-diaphragm-pump,DPL60-24DB-EP/PS,DPL60-24DB-EP/PS 液体隔膜泵,DPL60-24DB-EP/PS liquid diaphragm pump,DPL60-24DB-EP/PS,DPL60-24DB-EP/PS,DPL60-24DB-EP/PS,DPL60-24DB-EP/PS,data/products/generated/pumps/diaphragm-pumps/detail/index.json
泵,普通泵,,dpl60-brushless-liquid-diaphragm-pump,,DPL60 无刷液体隔膜泵｜600 mL/min 100 kPa｜FOREACH,DPL60 Brushless Liquid Diaphragm Pump | 600 mL/min 100 kPa | FOREACH,DPL60-BRUSHLESS,DPL60-BRUSHLESS,DPL60-BRUSHLESS,DPL60-BRUSHLESS,data/products/generated/pumps/diaphragm-pumps/detail/dpl60-liquid-diaphragm-pump.json
泵,普通泵,,dpl60-liquid-diaphragm-pump,,DPL60 液体隔膜泵,DPL60 Liquid Diaphragm Pump,DPL60,DPL60,DPL60,DPL60,data/products/generated/pumps/diaphragm-pumps/detail/dpl60-liquid-diaphragm-pump.json
泵,普通泵,无阀泵,drpl-0109,DRPL-0109,DRPL-0109 稀释比1:9 双头无阀泵,DRPL-0109 1:9 dual-head valveless piston pump,DRPL-0109,DRPL-0109,DRPL-0109,DRPL-0109,data/products/generated/pumps/valveless-pumps/detail/index.json
泵,普通泵,无阀泵,drpl-0119,DRPL-0119,DRPL-0119 稀释比1:19 双头无阀泵,DRPL-0119 1:19 dual-head valveless piston pump,DRPL-0119,DRPL-0119,DRPL-0119,DRPL-0119,data/products/generated/pumps/valveless-pumps/detail/index.json
泵,普通泵,无阀泵,rpl-p15,RPL-P15,RPL-P15 300–1200 μL/rev 中大量程无阀泵,RPL-P15 300–1200 μL/rev medium-to-large-volume-range valveless piston pump,RPL-P15,RPL-P15,RPL-P15,RPL-P15,data/products/generated/pumps/valveless-pumps/detail/index.json
泵,普通泵,无阀泵,rpl-p4,RPL-P4,RPL-P4 12–80 μL/rev 小量程无阀泵,RPL-P4 12–80 μL/rev Low-Volume Valveless Piston Pump,RPL-P4,RPL-P4,RPL-P4,RPL-P4,data/products/generated/pumps/valveless-pumps/detail/index.json
泵,普通泵,无阀泵,rpl-p635,RPL-P6.35,RPL-P6.35 50–300 μL/rev 中小量程无阀泵,RPL-P6.35 50–300 μL/rev small-to-medium-volume-range valveless piston pump,RPL-P6.35,RPL-P6.35,RPL-P6.35,RPL-P6.35,data/products/generated/pumps/valveless-pumps/detail/index.json
泵,普通泵,pipette-pump,smtp2-1000ul,SMTP2-1000μL,SMTP2 1000μL 可编程气体置换式移液泵,SMTP2 1000μL programmable gas-displacementPipetting Pump,SMTP2-1000μL,SMTP2-1000μL,SMTP2-1000μL,SMTP2-1000μL,data/products/generated/pumps/pipetting-pumps/detail/index.json
泵,普通泵,pipette-pump,smtp4-100ul,SMTP4-100μL,SMTP4 100μL 气体置换式移液泵,SMTP4 100μL gas-displacementPipetting Pump,SMTP4-100μL,SMTP4-100μL,SMTP4-100μL,SMTP4-100μL,data/products/generated/pumps/pipetting-pumps/detail/index.json
泵,普通泵,pipette-pump,smtp4-500ul,SMTP4-500μL,SMTP4 500μL 气体置换式移液泵,SMTP4 500μL gas-displacementPipetting Pump,SMTP4-500μL,SMTP4-500μL,SMTP4-500μL,SMTP4-500μL,data/products/generated/pumps/pipetting-pumps/detail/index.json
阀,阀,高压阀,high-pressure-valves,,HP 二位六通带排气高压旋转阀,HP high-pressurerotating,high-pressure-valves,high-pressure-valves,high-pressure-valves,high-pressure-valves,data/products/generated/valves/detail/index.json
阀,阀,旋转阀,rotary-valves,,MRV3 陶瓷多通道旋转阀,MRV3 Ceramic Multiport Rotary Valve,rotary-valves,rotary-valves,rotary-valves,rotary-valves,data/products/generated/valves/detail/index.json
阀,阀,电磁阀,solenoid-valves,,6010 系列电磁阀,6010 Solenoid Valve,solenoid-valves,solenoid-valves,solenoid-valves,solenoid-valves,data/products/generated/valves/detail/index.json
智控,智控,智控系列,abd-air-bubble-detector,ABD,ABD 气泡检测模块,ABD Air Bubble Detection Module,ABD,ABD,ABD,ABD,data/products/control-modules/control-module-detail.generated.ts
智控,智控,智控系列,pdm5-pressure-sensor,PDM5,PDM5 压力检测模块,PDM5 Pressure Sensing Module,PDM5,PDM5,PDM5,PDM5,data/products/control-modules/control-module-detail.generated.ts
