"序号","产品名称","产品编码","型号","Slug","产品类别/系列","检查结果","主图字段","主图引用路径","实际匹配路径","数据文件","数据位置","建议动作"
"16","1000 µL PMMA Pump Head Standard Plunger Pump","","","","","主图字段为空","images[0]","","","data/products/generated/pumps/pump-series.detail.generated.ts","data/products/generated/pumps/pump-series.detail.generated.ts 第 5666 行","补充主图路径；补图前暂不发布"
"17","10000 μL PEEK 泵头常规柱塞泵","","","","","主图字段为空","images[0]","","","data/products/generated/pumps/pump-series.detail.generated.ts","data/products/generated/pumps/pump-series.detail.generated.ts 第 11400 行","补充主图路径；补图前暂不发布"
"18","10000 µL PEEK Pump Head Standard Plunger Pump","","","","","主图字段为空","images[0]","","","data/products/generated/pumps/pump-series.detail.generated.ts","data/products/generated/pumps/pump-series.detail.generated.ts 第 11791 行","补充主图路径；补图前暂不发布"
"19","10000 μL PMMA 泵头常规柱塞泵","","","","","主图字段为空","images[0]","","","data/products/generated/pumps/pump-series.detail.generated.ts","data/products/generated/pumps/pump-series.detail.generated.ts 第 10525 行","补充主图路径；补图前暂不发布"
"20","10000 µL PMMA Pump Head Standard Plunger Pump","","","","","主图字段为空","images[0]","","","data/products/generated/pumps/pump-series.detail.generated.ts","data/products/generated/pumps/pump-series.detail.generated.ts 第 10916 行","补充主图路径；补图前暂不发布"
"21","250 μL PEEK 泵头常规柱塞泵","","","","","主图字段为空","images[0]","","","data/products/generated/pumps/pump-series.detail.generated.ts","data/products/generated/pumps/pump-series.detail.generated.ts 第 2650 行","补充主图路径；补图前暂不发布"
"22","250 μL PEEK 泵头微型柱塞泵","","","","","主图字段为空","images[0]","","","data/products/generated/pumps/pump-series.detail.generated.ts","data/products/generated/pumps/pump-series.detail.generated.ts 第 15711 行","补充主图路径；补图前暂不发布"
"23","250 µL PEEK Pump Head Miniature Plunger Pump","","","","","主图字段为空","images[0]","","","data/products/generated/pumps/pump-series.detail.generated.ts","data/products/generated/pumps/pump-series.detail.generated.ts 第 16094 行","补充主图路径；补图前暂不发布"
"24","250 µL PEEK Pump Head Standard Plunger Pump","","","","","主图字段为空","images[0]","","","data/products/generated/pumps/pump-series.detail.generated.ts","data/products/generated/pumps/pump-series.detail.generated.ts 第 3041 行","补充主图路径；补图前暂不发布"
"25","250 μL PMMA 泵头常规柱塞泵","","","","","主图字段为空","images[0]","","","data/products/generated/pumps/pump-series.detail.generated.ts","data/products/generated/pumps/pump-series.detail.generated.ts 第 1775 行","补充主图路径；补图前暂不发布"
"26","250 μL PMMA 泵头超紧凑柱塞泵","","","","","主图字段为空","images[0]","","","data/products/generated/pumps/pump-series.detail.generated.ts","data/products/generated/pumps/pump-series.detail.generated.ts 第 20006 行","补充主图路径；补图前暂不发布"
"27","250 μL PMMA 泵头微型柱塞泵","","","","","主图字段为空","images[0]","","","data/products/generated/pumps/pump-series.detail.generated.ts","data/products/generated/pumps/pump-series.detail.generated.ts 第 14852 行","补充主图路径；补图前暂不发布"
"28","250 µL PMMA Pump Head Miniature Plunger Pump","","","","","主图字段为空","images[0]","","","data/products/generated/pumps/pump-series.detail.generated.ts","data/products/generated/pumps/pump-series.detail.generated.ts 第 15235 行","补充主图路径；补图前暂不发布"
"29","250 µL PMMA Pump Head Standard Plunger Pump","","","","","主图字段为空","images[0]","","","data/products/generated/pumps/pump-series.detail.generated.ts","data/products/generated/pumps/pump-series.detail.generated.ts 第 2166 行","补充主图路径；补图前暂不发布"
"30","250 µL PMMA Pump Head Ultra-Compact Plunger Pump","","","","","主图字段为空","images[0]","","","data/products/generated/pumps/pump-series.detail.generated.ts","data/products/generated/pumps/pump-series.detail.generated.ts 第 20389 行","补充主图路径；补图前暂不发布"
"31","2500 μL PEEK 泵头常规柱塞泵","","","","","主图字段为空","images[0]","","","data/products/generated/pumps/pump-series.detail.generated.ts","data/products/generated/pumps/pump-series.detail.generated.ts 第 7900 行","补充主图路径；补图前暂不发布"
"32","2500 µL PEEK Pump Head Standard Plunger Pump","","","","","主图字段为空","images[0]","","","data/products/generated/pumps/pump-series.detail.generated.ts","data/products/generated/pumps/pump-series.detail.generated.ts 第 8291 行","补充主图路径；补图前暂不发布"
"33","2500 μL PMMA 泵头常规柱塞泵","","","","","主图字段为空","images[0]","","","data/products/generated/pumps/pump-series.detail.generated.ts","data/products/generated/pumps/pump-series.detail.generated.ts 第 7025 行","补充主图路径；补图前暂不发布"
"34","2500 µL PMMA Pump Head Standard Plunger Pump","","","","","主图字段为空","images[0]","","","data/products/generated/pumps/pump-series.detail.generated.ts","data/products/generated/pumps/pump-series.detail.generated.ts 第 7416 行","补充主图路径；补图前暂不发布"
"35","50 μL PMMA 泵头超紧凑柱塞泵","","","","","主图字段为空","images[0]","","","data/products/generated/pumps/pump-series.detail.generated.ts","data/products/generated/pumps/pump-series.detail.generated.ts 第 18288 行","补充主图路径；补图前暂不发布"
"36","50 μL PMMA 泵头微型柱塞泵","","","","","主图字段为空","images[0]","","","data/products/generated/pumps/pump-series.detail.generated.ts","data/products/generated/pumps/pump-series.detail.generated.ts 第 12275 行","补充主图路径；补图前暂不发布"
"37","50 µL PMMA Pump Head Miniature Plunger Pump","","","","","主图字段为空","images[0]","","","data/products/generated/pumps/pump-series.detail.generated.ts","data/products/generated/pumps/pump-series.detail.generated.ts 第 12658 行","补充主图路径；补图前暂不发布"
"38","50 µL PMMA Pump Head Ultra-Compact Plunger Pump","","","","","主图字段为空","images[0]","","","data/products/generated/pumps/pump-series.detail.generated.ts","data/products/generated/pumps/pump-series.detail.generated.ts 第 18671 行","补充主图路径；补图前暂不发布"
"39","500 μL PEEK 泵头常规柱塞泵","","","","","主图字段为空","images[0]","","","data/products/generated/pumps/pump-series.detail.generated.ts","data/products/generated/pumps/pump-series.detail.generated.ts 第 4400 行","补充主图路径；补图前暂不发布"
"40","500 µL PEEK Pump Head Standard Plunger Pump","","","","","主图字段为空","images[0]","","","data/products/generated/pumps/pump-series.detail.generated.ts","data/products/generated/pumps/pump-series.detail.generated.ts 第 4791 行","补充主图路径；补图前暂不发布"
"41","500 μL PMMA 泵头常规柱塞泵","","","","","主图字段为空","images[0]","","","data/products/generated/pumps/pump-series.detail.generated.ts","data/products/generated/pumps/pump-series.detail.generated.ts 第 3525 行","补充主图路径；补图前暂不发布"
"42","500 μL PMMA 泵头超紧凑柱塞泵","","","","","主图字段为空","images[0]","","","data/products/generated/pumps/pump-series.detail.generated.ts","data/products/generated/pumps/pump-series.detail.generated.ts 第 20865 行","补充主图路径；补图前暂不发布"
"43","500 μL PMMA 泵头微型柱塞泵","","","","","主图字段为空","images[0]","","","data/products/generated/pumps/pump-series.detail.generated.ts","data/products/generated/pumps/pump-series.detail.generated.ts 第 16570 行","补充主图路径；补图前暂不发布"
"44","500 µL PMMA Pump Head Miniature Plunger Pump","","","","","主图字段为空","images[0]","","","data/products/generated/pumps/pump-series.detail.generated.ts","data/products/generated/pumps/pump-series.detail.generated.ts 第 16953 行","补充主图路径；补图前暂不发布"
"45","500 µL PMMA Pump Head Standard Plunger Pump","","","","","主图字段为空","images[0]","","","data/products/generated/pumps/pump-series.detail.generated.ts","data/products/generated/pumps/pump-series.detail.generated.ts 第 3916 行","补充主图路径；补图前暂不发布"
"46","500 µL PMMA Pump Head Ultra-Compact Plunger Pump","","","","","主图字段为空","images[0]","","","data/products/generated/pumps/pump-series.detail.generated.ts","data/products/generated/pumps/pump-series.detail.generated.ts 第 21248 行","补充主图路径；补图前暂不发布"
"47","5000 μL PEEK 泵头常规柱塞泵","","","","","主图字段为空","images[0]","","","data/products/generated/pumps/pump-series.detail.generated.ts","data/products/generated/pumps/pump-series.detail.generated.ts 第 9650 行","补充主图路径；补图前暂不发布"
"48","5000 µL PEEK Pump Head Standard Plunger Pump","","","","","主图字段为空","images[0]","","","data/products/generated/pumps/pump-series.detail.generated.ts","data/products/generated/pumps/pump-series.detail.generated.ts 第 10041 行","补充主图路径；补图前暂不发布"
"49","5000 μL PMMA 泵头常规柱塞泵","","","","","主图字段为空","images[0]","","","data/products/generated/pumps/pump-series.detail.generated.ts","data/products/generated/pumps/pump-series.detail.generated.ts 第 8775 行","补充主图路径；补图前暂不发布"
"50","5000 µL PMMA Pump Head Standard Plunger Pump","","","","","主图字段为空","images[0]","","","data/products/generated/pumps/pump-series.detail.generated.ts","data/products/generated/pumps/pump-series.detail.generated.ts 第 9166 行","补充主图路径；补图前暂不发布"
"51","","839099","","","","图片文件不存在","imagePath","/images/resources/selection-support/fitting-replacement/q20/products/Q2002-PNX-SACE.webp","F:\WebsiteProjects\foreach-website-2026\public\images\resources\selection-support\fitting-replacement\q20\products\Q2002-PNX-SACE.webp | F:\images\resources\selection-support\fitting-replacement\q20\products\Q2002-PNX-SACE.webp | F:\WebsiteProjects\foreach-website-2026\public\images\resources\selection-support\fitting-replacement\q20\products\Q2002-PNX-SACE.webp | F:\WebsiteProjects\foreach-website-2026\images\resources\selection-support\fitting-replacement\q20\products\Q2002-PNX-SACE.webp","data/resources/fitting-replacement/fittings/quick-connect/q20/q20.zh.ts","data/resources/fitting-replacement/fittings/quick-connect/q20/q20.zh.ts 第 389 行","确认图片是否漏传、路径是否写错；无图产品暂不发布"
"52","","839119","","","","图片文件不存在","imagePath","/images/resources/selection-support/fitting-replacement/q20/products/Q2002-PMX-SACE.webp","F:\WebsiteProjects\foreach-website-2026\public\images\resources\selection-support\fitting-replacement\q20\products\Q2002-PMX-SACE.webp | F:\images\resources\selection-support\fitting-replacement\q20\products\Q2002-PMX-SACE.webp | F:\WebsiteProjects\foreach-website-2026\public\images\resources\selection-support\fitting-replacement\q20\products\Q2002-PMX-SACE.webp | F:\WebsiteProjects\foreach-website-2026\images\resources\selection-support\fitting-replacement\q20\products\Q2002-PMX-SACE.webp","data/resources/fitting-replacement/fittings/quick-connect/q20/q20.zh.ts","data/resources/fitting-replacement/fittings/quick-connect/q20/q20.zh.ts 第 347 行","确认图片是否漏传、路径是否写错；无图产品暂不发布"
"53","","839120","","","","图片文件不存在","imagePath","/images/resources/selection-support/fitting-replacement/q20/products/Q2001-PNX-SACE.webp","F:\WebsiteProjects\foreach-website-2026\public\images\resources\selection-support\fitting-replacement\q20\products\Q2001-PNX-SACE.webp | F:\images\resources\selection-support\fitting-replacement\q20\products\Q2001-PNX-SACE.webp | F:\WebsiteProjects\foreach-website-2026\public\images\resources\selection-support\fitting-replacement\q20\products\Q2001-PNX-SACE.webp | F:\WebsiteProjects\foreach-website-2026\images\resources\selection-support\fitting-replacement\q20\products\Q2001-PNX-SACE.webp","data/resources/fitting-replacement/fittings/quick-connect/q20/q20.zh.ts","data/resources/fitting-replacement/fittings/quick-connect/q20/q20.zh.ts 第 109 行","确认图片是否漏传、路径是否写错；无图产品暂不发布"
"54","","商品编码","型号：","","","图片文件不存在","gallery[0]","产品图片区域","F:\WebsiteProjects\foreach-website-2026\.local-backups\fep-configurator-integration-2026-07-17T22-48-50-300Z\产品图片区域 | F:\WebsiteProjects\foreach-website-2026\.local-backups\fep-configurator-integration-2026-07-17T22-48-50-300Z\产品图片区域.webp | F:\WebsiteProjects\foreach-website-2026\.local-backups\fep-configurator-integration-2026-07-17T22-48-50-300Z\产品图片区域.png | F:\WebsiteProjects\foreach-website-2026\.local-backups\fep-configurator-integration-2026-07-17T22-48-50-300Z\产品图片区域.jpg | F:\WebsiteProjects\foreach-website-2026\.local-backups\fep-configurator-integration-2026-07-17T22-48-50-300Z\产品图片区域.jpeg",".local-backups/fep-configurator-integration-2026-07-17T22-48-50-300Z/ProductDetailClient.tsx | .local-backups/peek-configurator-integration-2026-07-17T23-07-54-632Z/ProductDetailClient.tsx | .local-backups/peek-integration-final-2026-07-17T23-14-30-217Z/ProductDetailClient.tsx | .local-backups/pfa-configurator-integration-2026-07-17T23-21-32-469Z/ProductDetailClient.tsx | .local-backups/ptfe-configurator-integration-2026-07-17T23-01-28-207Z/ProductDetailClient.tsx | .local-backups/pvc-configurator-en-2026-07-17T13-20-39-973Z/ProductDetailClient.tsx | .local-backups/pvc-configurator-integration-2026-07-17T09-52-02-481Z/ProductDetailClient.tsx | .local-backups/pvc-multi-cart-2026-07-17T12-56-06-536Z/ProductDetailClient.tsx | .local-backups/tpu-configurator-integration-2026-07-17T14-02-50-448Z/ProductDetailClient.tsx | .local-backups/tpu-configurator-safe-2026-07-17T14-06-42-823Z/ProductDetailClient.tsx | .local-backups/tpu-configurator-safe-v2-2026-07-17T14-08-54-303Z/ProductDetailClient.tsx | components/products/detail/ProductDetailClient.tsx",".local-backups/fep-configurator-integration-2026-07-17T22-48-50-300Z/ProductDetailClient.tsx 第 996 行 | .local-backups/peek-configurator-integration-2026-07-17T23-07-54-632Z/ProductDetailClient.tsx 第 1044 行 | .local-backups/peek-integration-final-2026-07-17T23-14-30-217Z/ProductDetailClient.tsx 第 1044 行 | .local-backups/pfa-configurator-integration-2026-07-17T23-21-32-469Z/ProductDetailClient.tsx 第 1068 行 | .local-backups/ptfe-configurator-integration-2026-07-17T23-01-28-207Z/ProductDetailClient.tsx 第 1020 行 | .local-backups/pvc-configurator-en-2026-07-17T13-20-39-973Z/ProductDetailClient.tsx 第 969 行 | .local-backups/pvc-configurator-integration-2026-07-17T09-52-02-481Z/ProductDetailClient.tsx 第 937 行 | .local-backups/pvc-multi-cart-2026-07-17T12-56-06-536Z/ProductDetailClient.tsx 第 969 行 | .local-backups/tpu-configurator-integration-2026-07-17T14-02-50-448Z/ProductDetailClient.tsx 第 972 行 | .local-backups/tpu-configurator-safe-2026-07-17T14-06-42-823Z/ProductDetailClient.tsx 第 972 行 | .local-backups/tpu-configurator-safe-v2-2026-07-17T14-08-54-303Z/ProductDetailClient.tsx 第 972 行 | components/products/detail/ProductDetailClient.tsx 第 1156 行","确认图片是否漏传、路径是否写错；无图产品暂不发布"
"55","Q20 快插接头","商品编码：","","","","未配置主图字段","","","","data/resources/fitting-replacement/fittings/quick-connect/q20/q20.page.intl.ts","data/resources/fitting-replacement/fittings/quick-connect/q20/q20.page.intl.ts 第 85 行","确认该产品数据是否缺少主图字段；补图前暂不发布"
"56","直通异径倒刺接头","","BA-16F-24F-PP-N","","","未配置主图字段","","","","reports/barbed-fitting-detail-setup-report.json","reports/barbed-fitting-detail-setup-report.json $.examples[4]","确认该产品数据是否缺少主图字段；补图前暂不发布"
"57","直通等径倒刺接头","","BA-16F-PP-N","","","未配置主图字段","","","","reports/barbed-fitting-detail-setup-report.json","reports/barbed-fitting-detail-setup-report.json $.examples[0]","确认该产品数据是否缺少主图字段；补图前暂不发布"
"58","直通等径倒刺接头","","BA-24F-PP-N","","","未配置主图字段","","","","reports/barbed-fitting-detail-setup-report.json","reports/barbed-fitting-detail-setup-report.json $.examples[1]","确认该产品数据是否缺少主图字段；补图前暂不发布"
"59","直通等径倒刺接头","","BA-32F-PP-N","","","未配置主图字段","","","","reports/barbed-fitting-detail-setup-report.json","reports/barbed-fitting-detail-setup-report.json $.examples[2]","确认该产品数据是否缺少主图字段；补图前暂不发布"
"60","直通等径倒刺接头","","BA-40F-PP-N","","","未配置主图字段","","","","reports/barbed-fitting-detail-setup-report.json","reports/barbed-fitting-detail-setup-report.json $.examples[3]","确认该产品数据是否缺少主图字段；补图前暂不发布"
"61","Raccord Q20","Code :","","","","未配置主图字段","","","","data/resources/fitting-replacement/fittings/quick-connect/q20/q20.page.intl.ts","data/resources/fitting-replacement/fittings/quick-connect/q20/q20.page.intl.ts 第 328 行","确认该产品数据是否缺少主图字段；补图前暂不发布"
"62","","Code produit","Modèle :","","","图片文件不存在；未配置主图字段","gallery[0]","Galerie du produit","F:\WebsiteProjects\foreach-website-2026\data\products\detail\Galerie du produit | F:\WebsiteProjects\foreach-website-2026\data\products\detail\Galerie du produit.webp | F:\WebsiteProjects\foreach-website-2026\data\products\detail\Galerie du produit.png | F:\WebsiteProjects\foreach-website-2026\data\products\detail\Galerie du produit.jpg | F:\WebsiteProjects\foreach-website-2026\data\products\detail\Galerie du produit.jpeg","components/selection-cart/SelectionCartProvider.tsx | data/products/detail/hard-tube-fitting-detail.intl.ts | data/products/detail/product-detail.target.intl.ts","components/selection-cart/SelectionCartProvider.tsx 第 67 行 | data/products/detail/hard-tube-fitting-detail.intl.ts 第 101 行 | data/products/detail/product-detail.target.intl.ts 第 49 行 | data/products/detail/product-detail.target.intl.ts 第 77 行","确认图片是否漏传、路径是否写错；无图产品暂不发布"
"63","","Código de producto","Modelo:","","","图片文件不存在；未配置主图字段","gallery[0]","Galería del producto","F:\WebsiteProjects\foreach-website-2026\data\products\detail\Galería del producto | F:\WebsiteProjects\foreach-website-2026\data\products\detail\Galería del producto.webp | F:\WebsiteProjects\foreach-website-2026\data\products\detail\Galería del producto.png | F:\WebsiteProjects\foreach-website-2026\data\products\detail\Galería del producto.jpg | F:\WebsiteProjects\foreach-website-2026\data\products\detail\Galería del producto.jpeg","components/selection-cart/SelectionCartProvider.tsx | data/products/detail/hard-tube-fitting-detail.intl.ts | data/products/detail/product-detail.target.intl.ts","components/selection-cart/SelectionCartProvider.tsx 第 48 行 | data/products/detail/hard-tube-fitting-detail.intl.ts 第 56 行 | data/products/detail/product-detail.target.intl.ts 第 48 行 | data/products/detail/product-detail.target.intl.ts 第 76 行","确认图片是否漏传、路径是否写错；无图产品暂不发布"
"64","Conector Q20","Código:","","","","未配置主图字段","","","","data/resources/fitting-replacement/fittings/quick-connect/q20/q20.page.intl.ts","data/resources/fitting-replacement/fittings/quick-connect/q20/q20.page.intl.ts 第 247 行","确认该产品数据是否缺少主图字段；补图前暂不发布"
"65","DRPL 1:9–1:19 双头比例输送无阀泵","DRPL","DRPL 1:9–1:19 双头比例输送无阀泵","drpl","","未配置主图字段","","","","scripts/products/generate-valveless-pump-detail-data.js","scripts/products/generate-valveless-pump-detail-data.js 第 337 行","确认该产品数据是否缺少主图字段；补图前暂不发布"
"66","FEP Tubing","","","","","未配置主图字段","","","","data/products/configurator/fep-tubing.ts","data/products/configurator/fep-tubing.ts 第 177 行","确认该产品数据是否缺少主图字段；补图前暂不发布"
"67","FEP管","","","","","未配置主图字段","","","","data/products/configurator/fep-tubing.ts","data/products/configurator/fep-tubing.ts 第 113 行","确认该产品数据是否缺少主图字段；补图前暂不发布"
"68","固定公鲁尔芯子","","LSL-16-PA-W","","","未配置主图字段","","","","reports/luer-female-thread-detail-generation-report.json","reports/luer-female-thread-detail-generation-report.json $.targets[0].samples[1]","确认该产品数据是否缺少主图字段；补图前暂不发布"
"69","固定公鲁尔芯子","","LSL-16-PP-N","","","未配置主图字段","","","","reports/luer-female-thread-detail-generation-report.json","reports/luer-female-thread-detail-generation-report.json $.targets[0].samples[0]","确认该产品数据是否缺少主图字段；补图前暂不发布"
"70","固定公鲁尔芯子","","LSL-24-PP-N","","","未配置主图字段","","","","reports/luer-female-thread-detail-generation-report.json","reports/luer-female-thread-detail-generation-report.json $.targets[0].samples[2]","确认该产品数据是否缺少主图字段；补图前暂不发布"
"71","PEEK Tubing","","","","","未配置主图字段","","","",".local-backups/peek-tubing-data-20260718-070557/peek-tubing.ts | data/products/configurator/peek-tubing.ts",".local-backups/peek-tubing-data-20260718-070557/peek-tubing.ts 第 105 行 | data/products/configurator/peek-tubing.ts 第 105 行","确认该产品数据是否缺少主图字段；补图前暂不发布"
"72","PEEK管","","","","","未配置主图字段","","","",".local-backups/peek-tubing-data-20260718-070557/peek-tubing.ts | data/products/configurator/peek-tubing.ts",".local-backups/peek-tubing-data-20260718-070557/peek-tubing.ts 第 41 行 | data/products/configurator/peek-tubing.ts 第 41 行","确认该产品数据是否缺少主图字段；补图前暂不发布"
"73","PFA Tubing","","","","","未配置主图字段","","","","data/products/configurator/pfa-tubing.ts","data/products/configurator/pfa-tubing.ts 第 122 行","确认该产品数据是否缺少主图字段；补图前暂不发布"
"74","PFA管","","","","","未配置主图字段","","","","data/products/configurator/pfa-tubing.ts","data/products/configurator/pfa-tubing.ts 第 58 行","确认该产品数据是否缺少主图字段；补图前暂不发布"
"75","","Product Code","Model:","","","图片文件不存在；未配置主图字段","gallery[0]","Product gallery","F:\WebsiteProjects\foreach-website-2026\.local-backups\fep-configurator-integration-2026-07-17T22-48-50-300Z\Product gallery | F:\WebsiteProjects\foreach-website-2026\.local-backups\fep-configurator-integration-2026-07-17T22-48-50-300Z\Product gallery.webp | F:\WebsiteProjects\foreach-website-2026\.local-backups\fep-configurator-integration-2026-07-17T22-48-50-300Z\Product gallery.png | F:\WebsiteProjects\foreach-website-2026\.local-backups\fep-configurator-integration-2026-07-17T22-48-50-300Z\Product gallery.jpg | F:\WebsiteProjects\foreach-website-2026\.local-backups\fep-configurator-integration-2026-07-17T22-48-50-300Z\Product gallery.jpeg",".local-backups/fep-configurator-integration-2026-07-17T22-48-50-300Z/ProductDetailClient.tsx | .local-backups/peek-configurator-integration-2026-07-17T23-07-54-632Z/ProductDetailClient.tsx | .local-backups/peek-integration-final-2026-07-17T23-14-30-217Z/ProductDetailClient.tsx | .local-backups/pfa-configurator-integration-2026-07-17T23-21-32-469Z/ProductDetailClient.tsx | .local-backups/ptfe-configurator-integration-2026-07-17T23-01-28-207Z/ProductDetailClient.tsx | .local-backups/pvc-configurator-en-2026-07-17T13-20-39-973Z/ProductDetailClient.tsx | .local-backups/pvc-configurator-integration-2026-07-17T09-52-02-481Z/ProductDetailClient.tsx | .local-backups/pvc-multi-cart-2026-07-17T12-56-06-536Z/ProductDetailClient.tsx | .local-backups/tpu-configurator-integration-2026-07-17T14-02-50-448Z/ProductDetailClient.tsx | .local-backups/tpu-configurator-safe-2026-07-17T14-06-42-823Z/ProductDetailClient.tsx | .local-backups/tpu-configurator-safe-v2-2026-07-17T14-08-54-303Z/ProductDetailClient.tsx | components/products/detail/ProductDetailClient.tsx | data/products/detail/product-detail.intl.ts",".local-backups/fep-configurator-integration-2026-07-17T22-48-50-300Z/ProductDetailClient.tsx 第 960 行 | .local-backups/peek-configurator-integration-2026-07-17T23-07-54-632Z/ProductDetailClient.tsx 第 1008 行 | .local-backups/peek-integration-final-2026-07-17T23-14-30-217Z/ProductDetailClient.tsx 第 1008 行 | .local-backups/pfa-configurator-integration-2026-07-17T23-21-32-469Z/ProductDetailClient.tsx 第 1032 行 | .local-backups/ptfe-configurator-integration-2026-07-17T23-01-28-207Z/ProductDetailClient.tsx 第 984 行 | .local-backups/pvc-configurator-en-2026-07-17T13-20-39-973Z/ProductDetailClient.tsx 第 933 行 | .local-backups/pvc-configurator-integration-2026-07-17T09-52-02-481Z/ProductDetailClient.tsx 第 901 行 | .local-backups/pvc-multi-cart-2026-07-17T12-56-06-536Z/ProductDetailClient.tsx 第 933 行 | .local-backups/tpu-configurator-integration-2026-07-17T14-02-50-448Z/ProductDetailClient.tsx 第 936 行 | .local-backups/tpu-configurator-safe-2026-07-17T14-06-42-823Z/ProductDetailClient.tsx 第 936 行 | .local-backups/tpu-configurator-safe-v2-2026-07-17T14-08-54-303Z/ProductDetailClient.tsx 第 936 行 | components/products/detail/ProductDetailClient.tsx 第 1111 行 | data/products/detail/product-detail.intl.ts 第 6 行","确认图片是否漏传、路径是否写错；无图产品暂不发布"
"76","Q20 Quick-connect Fitting","Product Code:","","","","未配置主图字段","","","","data/resources/fitting-replacement/fittings/quick-connect/q20/q20.page.intl.ts","data/resources/fitting-replacement/fittings/quick-connect/q20/q20.page.intl.ts 第 166 行","确认该产品数据是否缺少主图字段；补图前暂不发布"
"77","PTFE Tubing","","","","","未配置主图字段","","","","data/products/configurator/ptfe-tubing.ts","data/products/configurator/ptfe-tubing.ts 第 435 行","确认该产品数据是否缺少主图字段；补图前暂不发布"
"78","PTFE管","","","","","未配置主图字段","","","","data/products/configurator/ptfe-tubing.ts","data/products/configurator/ptfe-tubing.ts 第 348 行","确认该产品数据是否缺少主图字段；补图前暂不发布"
"79","PVC Tubing","","","","","未配置主图字段","","","","data/products/configurator/pvc-tubing.ts","data/products/configurator/pvc-tubing.ts 第 501 行","确认该产品数据是否缺少主图字段；补图前暂不发布"
